ID	Domain	Phylum	Class	Order	Family	Genus	Species
Otu0021	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Ruminococcaceae	Gemmiger	Gemmiger qucibialis
Otu0022	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	Parabacteroides merdae
Otu0023	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	Faecalibacterium hattorii
Otu0024	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Succinivibrionaceae	Succinivibrio	Succinivibrio sp000431835
Otu0025	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella sp003466125
Otu0026	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Acutalibacteraceae	Fimenecus	Fimenecus sp000432435
Otu0027	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Acutalibacteraceae	CAG-217	CAG-217 sp000436335
Otu0028	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Acutalibacteraceae	CAG-177	CAG-177 sp003514385
Otu0029	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	Hominicoprocola	Hominicoprocola fusiformis
Otu0030	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes putredinis
Otu0031	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella
Otu0032	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia marmotae
Otu0033	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospira	Lachnospira eligens_A
Otu0034	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Acetatifactor	Acetatifactor intestinalis
Otu0035	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium adolescentis
Otu0036	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Paraprevotella	Paraprevotella clara
Otu0037	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Fusicatenibacter	Fusicatenibacter saccharivorans
Otu0038	Bacteria	Bacillota_C	Negativicutes	Veillonellales	Megasphaeraceae	Megasphaera	Megasphaera elsdenii
Otu0039	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Dorea_A	Dorea_A longicatena
Otu0040	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides faecis
Otu0041	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Blautia_A	Blautia_A fusiformis
Otu0042	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Ruminococcaceae	Gemmiger	Gemmiger formicilis
Otu0043	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella sp000436035
Otu0044	Archaea	Methanobacteriota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter_A	Methanobrevibacter_A smithii
Otu0045	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella diarizonae
Otu0046	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Phocaeicola	Phocaeicola massiliensis
Otu0047	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Paraprevotella	Paraprevotella clara
Otu0048	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Roseburia	Roseburia inulinivorans
Otu0049	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella
Otu0050	Bacteria	Bacillota	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	Staphylococcus
Otu0051	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	CAG-103	CAG-103 sp000432375
Otu0052	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Butyrivibrio_A	Butyrivibrio_A crossotus
Otu0053	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	Dysosmobacter	Dysosmobacter segnis
Otu0054	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Wujia	Wujia chipingensis
Otu0055	Bacteria	Bacillota_A	Clostridia	Peptostreptococcales	Peptostreptococcaceae	Romboutsia_E	Romboutsia_E
Otu0056	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Bariatricus	Bariatricus comes
Otu0057	Bacteria	Bacillota_C	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus	Acidaminococcus
Otu0058	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Roseburia_C	Roseburia_C amylophila
Otu0059	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Mediterraneibacter	Mediterraneibacter faecis
Otu0060	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospira	Lachnospira pectinoschiza_A
Otu0061	Bacteria	Bacillota_A	Clostridia	Christensenellales	Aristaeellaceae	UBA11524	UBA11524 sp000437595
Otu0062	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Limisoma	Limisoma sp000437795
Otu0063	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus halotolerans
Otu0064	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella sp002251385
Otu0065	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Anaerostipes	Anaerostipes hadrus
Otu0066	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes finegoldii
Otu0067	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Anaerobutyricum	Anaerobutyricum hallii
Otu0068	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Parasutterella	Parasutterella excrementihominis
Otu0069	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides caccae
Otu0070	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	Vescimonas	Vescimonas coprocola
Otu0071	Bacteria	Bacillota_I	Bacilli_A	Erysipelotrichales	Erysipelotrichaceae	Holdemanella	Holdemanella sp900556915
Otu0072	Bacteria	Bacillota	Bacilli	Lactobacillales	Listeriaceae	Listeria	Listeria
Otu0073	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	Akkermansia	Akkermansia muciniphila_A
Otu0074	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Coprococcus	Coprococcus aceti
Otu0075	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Acutalibacteraceae	Eubacterium_R	Eubacterium_R sp000436835
Otu0076	Bacteria	Bacillota_C	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	Veillonella nakazawae
Otu0077	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcus_C	Ruminococcus_C callidus
Otu0078	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes onderdonkii
Otu0079	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcus_C	Ruminococcus_C sp000433635
Otu0080	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	Parabacteroides distasonis
Otu0081	Bacteria	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus_B	Enterococcus_B
Otu0082	Bacteria	Bacillota_A	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium lentum
Otu0083	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Phocaeicola	Phocaeicola coprocola
Otu0084	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Bilophila	Bilophila wadsworthia
Otu0085	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Pasteurellaceae	Haemophilus_D	Haemophilus_D parainfluenzae
Otu0086	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Otoolea	Otoolea fessa
Otu0087	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Blautia_A	Blautia_A obeum
Otu0088	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	Limosilactobacillus fermentum
Otu0089	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	Odoribacter	Odoribacter splanchnicus
Otu0090	Bacteria	Bacillota_I	Bacilli_A	Erysipelotrichales	Erysipelotrichaceae	Holdemanella	Holdemanella biformis
Otu0091	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	CAG-170	CAG-170 sp000432135
Otu0092	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides eggerthii
Otu0093	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus thermophilus
Otu0094	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Dorea	Dorea formicigenerans
Otu0095	Bacteria	Bacillota_A	Clostridia	TANB77	CAG-508	CAG-508	CAG-508
Otu0096	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	Hominicoprocola	Hominicoprocola sp900317525
Otu0097	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Barnesiellaceae	Barnesiella	Barnesiella intestinihominis
Otu0098	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Blautia_A	Blautia_A faecis
Otu0099	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Mesosutterella	Mesosutterella multiformis
Otu0100	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Alitiscatomonas	Alitiscatomonas sp900066535
Otu0101	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Mailhella	Mailhella sp900553065
Otu0102	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Acutalibacteraceae	Hominenteromicrobium	Hominenteromicrobium mulieris
Otu0103	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Mediterraneibacter	Mediterraneibacter lactaris
Otu0104	Bacteria	Bacillota_A	Clostridia	TANB77	CAG-508	CAG-508	CAG-508
Otu0105	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Sutterella	Sutterella wadsworthensis_A
Otu0106	Bacteria	Bacillota_C	Negativicutes	Selenomonadales	Selenomonadaceae	Mitsuokella	Mitsuokella sp003458855
Otu0107	Bacteria	Bacillota_A	Clostridia	Christensenellales	Aristaeellaceae	Ventricola	Ventricola sp900542395
Otu0108	Bacteria	Bacillota_A	Clostridia	UBA1381	UBA1381	Hominilimicola	Hominilimicola fabiformis
Otu0109	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcaceae	Ruminococcaceae
Otu0110	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Oliverpabstia	Oliverpabstia intestinalis
Otu0111	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Phocaeicola	Phocaeicola sp959599425
Otu0112	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Acutalibacteraceae	Fimenecus	Fimenecus
Otu0113	Bacteria	Bacillota_C	Negativicutes	Selenomonadales	Selenomonadaceae	Megamonas	Megamonas funiformis
Otu0114	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Phocaeicola	Phocaeicola sp000434735
Otu0115	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Anthropogastromicrobium	Anthropogastromicrobium aceti
Otu0116	Bacteria	Bacillota_I	Bacilli_A	Erysipelotrichales	Coprobacillaceae	Faecalibacillus	Faecalibacillus faecis
Otu0117	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Hominisplanchenecus	Hominisplanchenecus faecis
Otu0118	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	UBA6398	UBA6398 sp003150315
Otu0119	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Ligilactobacillus	Ligilactobacillus ruminis
Otu0120	Bacteria	Bacillota_A	Clostridia	TANB77	CAG-508	CAG-273	CAG-273 sp000435755
Otu0121	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Ellagibacter	Ellagibacter isourolithinifaciens
Otu0122	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Eubacterium_F	Eubacterium_F sp003491505
Otu0123	Bacteria	Bacillota_A	Clostridia	TANB77	CAG-508	CAG-245	CAG-245 sp000435175
Otu0124	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Enterocloster	Enterocloster sp000431375
Otu0125	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Anaerotignaceae	Anaerotignum	Anaerotignum faecicola
Otu0126	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Phocaeicola	Phocaeicola plebeius_A
Otu0127	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Senegalimassilia	Senegalimassilia anaerobia
Otu0128	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas paraeruginosa
Otu0129	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospira	Lachnospira sp000437735
Otu0130	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella
Otu0131	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Brotaphodocola	Brotaphodocola sp003478505
Otu0132	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Butyricicoccaceae	Agathobaculum	Agathobaculum butyriciproducens
Otu0133	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	Dysosmobacter	Dysosmobacter welbionis
Otu0134	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Alloprevotella	Alloprevotella rava
Otu0135	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Coprococcus_A	Coprococcus_A catus_A
Otu0136	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Acutalibacteraceae	Ruminococcus_E	Ruminococcus_E sp934476515
Otu0137	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	Faecousia	Faecousia sp000434635
Otu0138	Bacteria	Bacillota_A	Clostridia	Oscillospirales	CAG-272	UMGS911	UMGS911 sp900546695
Otu0139	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Eubacterium_I	Eubacterium_I ramulus
Otu0140	Bacteria	Bacillota_I	Bacilli_A	RF39	UBA660	CAG-302	CAG-302 sp900543825
Otu0141	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Hominiventricola	Hominiventricola sp003480725
Otu0142	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella
Otu0143	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Mediterraneibacter	Mediterraneibacter torques
Otu0144	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes communis
Otu0145	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Acutalibacteraceae	CAG-488	CAG-488 sp000434915
Otu0146	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Ruminococcaceae	Ruminiclostridium_E	Ruminiclostridium_E siraeum
Otu0147	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Suilimivivens	Suilimivivens sp021628825
Otu0148	Bacteria	Bacillota_A	Clostridia	TANB77	CAG-508	CAG-273	CAG-273 sp003534295
Otu0149	Bacteria	Bacillota_A	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium saudiense
Otu0150	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	Limivicinus	Limivicinus sp002320035
Otu0151	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Enterocloster	Enterocloster sp900541315
Otu0152	Bacteria	Bacillota_A	Clostridia	Christensenellales	CAG-138	SFEL01	SFEL01 sp004557245
Otu0153	Bacteria	Bacillota_A	Clostridia	Clostridia	Clostridia	Clostridia	Clostridia
Otu0154	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	CAG-170	CAG-170 sp900549635
Otu0155	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	Faecousia	Faecousia sp000434635
Otu0156	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Acutalibacteraceae	Eubacterium_R	Eubacterium_R sp011958665
Otu0157	Bacteria	Bacillota_A	Clostridia	Peptostreptococcales	Peptostreptococcaceae	Intestinibacter	Intestinibacter bartlettii
Otu0158	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella sp900313215
Otu0159	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	UBA3402	UBA3402 sp003478355
Otu0160	Bacteria	Bacillota_A	Clostridia	Christensenellales	CAG-138	PeH17	PeH17 sp000435055
Otu0161	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Eubacterium_G	Eubacterium_G ventriosum
Otu0162	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Ruminococcaceae	Negativibacillus	Negativibacillus sp905197685
Otu0163	Bacteria	Bacillota_A	Clostridia	TANB77	CAG-508	CAG-269	CAG-269 sp003525075
Otu0164	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Acutalibacteraceae	CAG-177	CAG-177 sp000431775
Otu0165	Bacteria	Bacillota_A	Clostridia	Christensenellales	CAG-138	Phil1	Phil1 sp001940855
Otu0166	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	JAGBWK01	JAGBWK01 sp001915385
Otu0167	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Slackia	Slackia isoflavoniconvertens
Otu0168	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Gallintestinimicrobium	Gallintestinimicrobium propionicum
Otu0169	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Blautia_A	Blautia_A intestinalis
Otu0170	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae	Lachnospiraceae
Otu0171	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	Butyricimonas	Butyricimonas virosa
Otu0172	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Coprococcus	Coprococcus ammoniilyticus
Otu0173	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Alloprevotella	Alloprevotella sp900541335
Otu0174	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Ruminococcus_B	Ruminococcus_B gnavus
Otu0175	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella
Otu0176	Bacteria	Bacillota_A	Clostridia	Monoglobales	Monoglobaceae	Monoglobaceae	Monoglobaceae
Otu0177	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	CAG-194	CAG-194 sp018917935
Otu0178	Bacteria	Bacillota_A	Clostridia	Peptostreptococcales	Peptostreptococcaceae	Terrisporobacter	Terrisporobacter othiniensis
Otu0179	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Butyribacter	Butyribacter sp003529475
Otu0180	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Ruminococcaceae	Ruminiclostridium_E	Ruminiclostridium_E
Otu0181	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Sodaliphilus	Sodaliphilus sp004557565
Otu0182	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	Parabacteroides faecis
Otu0183	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Anaerotardibacter	Anaerotardibacter
Otu0184	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Phocaeicola	Phocaeicola coprophilus
Otu0185	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides cellulosilyticus
Otu0186	Bacteria	Cyanobacteriota	Vampirovibrionia	Gastranaerophilales	Gastranaerophilaceae	UBA6984	UBA6984 sp003258725
Otu0187	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcus_F	Ruminococcus_F champanellensis
Otu0188	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes
Otu0189	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Limivivens	Limivivens faecihominis
Otu0190	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae	Lachnospiraceae
Otu0191	Bacteria	Bacillota_A	Clostridia	TANB77	CAG-508	CAG-508	CAG-508
Otu0192	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcus	Ruminococcus sp900540005
Otu0193	Bacteria	Cyanobacteriota	Vampirovibrionia	Gastranaerophilales	Gastranaerophilaceae	Zag111	Zag111 sp002102825
Otu0194	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Acutalibacteraceae	Clostridium_A	Clostridium_A leptum
Otu0195	Bacteria	Bacillota_A	Clostridia	Christensenellales	UBA1750	Spyradocola	Spyradocola merdavium
Otu0196	Bacteria	Bacillota_A	Clostridia	TANB77	CAG-508	CAG-492	CAG-492 sp000434015
Otu0197	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Laedolimicola	Laedolimicola ammoniilytica
Otu0198	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	UBA4285	UBA4285 sp902775895
Otu0199	Bacteria	Bacillota_A	Clostridia	TANB77	CAG-508	CAG-452	CAG-452 sp000434035
Otu0200	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	Butyricimonas	Butyricimonas
Otu0201	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Acutalibacteraceae	Acutalibacteraceae	Acutalibacteraceae
Otu0202	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Hominifimenecus	Hominifimenecus microfluidus
Otu0203	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	Lawsonibacter	Lawsonibacter asaccharolyticus
Otu0204	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Ruminococcaceae	Ruthenibacterium	Ruthenibacterium lactatiformans
Otu0205	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Duodenibacillus	Duodenibacillus massiliensis
Otu0206	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Ruminococcaceae	Fournierella	Fournierella
Otu0207	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	Oscillospiraceae	Oscillospiraceae
Otu0208	Bacteria	Bacillota_C	Negativicutes	Selenomonadales	Selenomonadaceae	Mitsuokella	Mitsuokella multacida
Otu0209	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Ruminococcaceae	Huintestinicola	Huintestinicola butyrica
Otu0210	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Alloprevotella	Alloprevotella
Otu0211	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	Dysosmobacter	Dysosmobacter faecalis_A
Otu0212	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	Dysosmobacter	Dysosmobacter sp000436875
Otu0213	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	Lawsonibacter	Lawsonibacter faecis
Otu0214	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	Flavonifractor	Flavonifractor plautii
Otu0215	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Suilimivivens	Suilimivivens aceti
Otu0216	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus mitis
Otu0217	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus parasanguinis
